Left context,Center,Punct,Right context,Title,Author,Birthday,Header,Created,Date,Century,Sphere,Type,Topic,Publication,Medium,Full context,Слово слева,Значение,Meaning number,Зависит ли от какого-то слова в предложении,POS,full_tag,Семантика глагола. К какой сем. группе он относится?,Вершинное слово: препозиция или постпозиция,Расстояние от вершинного слова,Значение (abs),Вершинное слово,Начальная форма,Прямое или переносное значение,Есть ли ещё,Full context
Мы глядь,туда,",",сюда!,"М. Н. Загоскин. Юрий Милославский, или русские в 1612 году (1829)",М. Н. Загоскин,1789,"Юрий Милославский, или русские в 1612 году",1829,1829,IXX,художественная,роман,,"М. Н. Загоскин. Юрий Милославский, или русские в 1612 году",книга,"Мы глядь туда, сюда!",глядь,"В разные стороны, во все концы",1,Да,частица,PRCL,,препозиция,0,0,глядь,глядь,Прямое,Отсутствует,"Мы глядь туда, сюда!"
Данила,туда,",",сюда.,В. Ф. Одоевский. Живописец (1839),В. Ф. Одоевский,1804,Живописец,1839,1839,IXX,художественная,повесть,,Русские повести XIX века 20-х — 30-х годов. Том 2,книга,"Данила туда, сюда.",Данила,"В разные стороны, во все концы",1,Да,существительное,"NOUN, anim, masc, Name sing, gent",,препозиция,0,0,Данила,данил,Переносное,Отсутствует,"Данила туда, сюда."
пустое слово; моя свободная воля идти,туда,",","сюда, куда хочу, и соображать, и",В. И. Даль. Бедовик (1839),В. И. Даль,1801,Бедовик,1839,1839,IXX,художественная,повесть,,В. И. Даль (Казак Луганский). Повести. Рассказы. Очерки. Сказки,книга,"Поэтому судьба -- пустое слово; моя свободная воля идти туда, сюда, куда хочу, и соображать, и оглядываться, чтобы не подставлять затылка коромыслу"".",идти,"В разные стороны, во все концы",1,Да,глагол (инфинитив),"INFN, impf, intr",движения,препозиция,0,0,идти,идти,Прямое,Отсутствует,"Поэтому судьба -- пустое слово; моя свободная воля идти туда, сюда, куда хочу, и соображать, и оглядываться, чтобы не подставлять затылка коромыслу""."
Я,туда,",",сюда...,В. А. Соллогуб. Тарантас (1845),В. А. Соллогуб,1814,Тарантас,1845,1845,IXX,художественная,повесть,,В. А. Соллогуб. Избранная проза,книга,"Я туда, сюда...",Я,"В разные стороны, во все концы",1,Да,местоимение,"NPRO, 1per sing, nomn",,препозиция,0,0,я,я,Прямое,Отсутствует,"Я туда, сюда..."
"я должен шуметь, браниться, допрашивать, ездить",туда,",",сюда... ты не выдержишь этой муки.,А. В. Дружинин. Полинька Сакс (1847),А. В. Дружинин,1824,Полинька Сакс,1847,1847,IXX,художественная,повесть,,А. В. Дружинин. Полинька Сакс. Дневник,книга,"А на месте я должен шуметь, браниться, допрашивать, ездить туда, сюда... ты не выдержишь этой муки.",ездить,"В разные стороны, во все концы",1,Да,глагол (инфинитив),"INFN, impf, intr",движения,препозиция,0,0,ездить,ездить,Прямое,Отсутствует,"А на месте я должен шуметь, браниться, допрашивать, ездить туда, сюда... ты не выдержишь этой муки."
Лекарь,туда,",","сюда, -- нет места.",И. С. Тургенев. Мой сосед Радилов (1847),И. С. Тургенев,1818,Мой сосед Радилов,1847,1847,IXX,художественная,рассказ,,И. С. Тургенев. Муму Записки охотника: рассказы,книга,"Лекарь туда, сюда, -- нет места.",Лекарь,"В разные стороны, во все концы",1,Да,существительное,"NOUN, anim, masc sing, nomn",,препозиция,0,0,лекарь,лекарь,Переносное,Отсутствует,"Лекарь туда, сюда, -- нет места."
"вывеску, заглянуть в окно магазина, зайти",туда,",","сюда... очень, очень хорошо!",И. А. Гончаров. Обыкновенная история (1847),И. А. Гончаров,1812,Обыкновенная история,1847,1847,IXX,художественная,роман,,И. А. Гончаров. Обыкновенная история,книга,"думал он, -- пойти -- куда хочется, остановиться, прочитать вывеску, заглянуть в окно магазина, зайти туда, сюда... очень, очень хорошо!",зайти,"В разные стороны, во все концы",1,Да,глагол (инфинитив),"INFN, perf, intr",конкретного физического действия,препозиция,0,0,зайти,зайти,Прямое,Отсутствует,"думал он, -- пойти -- куда хочется, остановиться, прочитать вывеску, заглянуть в окно магазина, зайти туда, сюда... очень, очень хорошо!"
Вхожу -- глядь,туда,",",сюда -- нет моего седока «Что тебе,И. Т. Кокорев. Извозчики-лихачи и ваньки (1849),И. Т. Кокорев,1825,Извозчики-лихачи и ваньки,1849,1849,IXX,публицистика | художественная,очерк,,Москва сороковых годов. Очерки и повести о Москве XIX века,книга,"Вхожу -- глядь туда, сюда -- нет моего седока «Что тебе, погонялка?»",глядь,"В разные стороны, во все концы",1,Да,частица,PRCL,,препозиция,1,1,глядь,глядь,Прямое,Отсутствует,"Вхожу -- глядь туда, сюда -- нет моего седока «Что тебе, погонялка?»"
Я за ним...,туда,",","сюда... мотал, мотал по городу-то",А. В. Сухово-Кобылин. Свадьба Кречинского (1855),А. В. Сухово-Кобылин,1817,Свадьба Кречинского,1855,1855,IXX,художественная,пьеса,,А. В. Сухово-Кобылин. Свадьба Кречинского. Дело. Смерть Тарелкина,книга,"Я за ним... туда, сюда... мотал, мотал по городу-то, и вот до сего часа...",ним,"В разные стороны, во все концы",1,Да,глагол (личная форма),"VERB, impf, tran masc, sing, past, indc",конкретного физического действия,постпозиция,0,0,мотал,мотать,Переносное,Отсутствует,"Я за ним... туда, сюда... мотал, мотал по городу-то, и вот до сего часа..."
Та,туда,",","сюда -- -- Я сотскій, говоритъ, покажи, не",П. И. Якушкин. Из Новгородской губернии (1859),П. И. Якушкин,1822,Из Новгородской губернии,1859,1859,IXX,публицистика,письмо литературное,путешествия,"Путевыя письма изъ Новогородской и Псковской губерній, Павла Якушкина",книга,"Та туда, сюда -- -- Я сотскій, говоритъ, покажи, не пущу: къ становому представлю!..",Та,"В разные стороны, во все концы",1,Да,местоимение,"NPRO, 1per sing, nomn",,постпозиция,0,0,я,я,Прямое,Отсутствует,"Та туда, сюда -- -- Я сотскій, говоритъ, покажи, не пущу: къ становому представлю!.."
"Ах, ах,",туда,",","сюда, -- давай, говорят, хлеба!",В. А. Слепцов. Владимирка и Клязьма (1860-1861),В. А. Слепцов,1836,Владимирка и Клязьма,1860-1861,1860,IXX,художественная,очерк,,В. А. Слепцов. Трудное время. Рассказы. Повесть,книга,"Ах, ах, туда, сюда, -- давай, говорят, хлеба!",ах,"В разные стороны, во все концы",1,Да,глагол (личная форма),"VERB, impf, tran sing, impr, excl",донатив,постпозиция,0,0,давай,давать,Прямое,Отсутствует,"Ах, ах, туда, сюда, -- давай, говорят, хлеба!"
,туда,",","сюда, нигде нет.",В. И. Чемизов. Дневник студента Медико-хирургической академии П. Орешина (1861),В. И. Чемизов,1845,Дневник студента Медико-хирургической академии П. Орешина,1861,1861,IXX,публицистика,"дневник, записные книжки",образование | частная жизнь | история | природа,,электронный текст,"Туда, сюда, нигде нет.",,"В разные стороны, во все концы",1,Нет,Слово отсутствует,Слово отсутствует,,Слово отсутствует,Слово отсутствует,Слово отсутствует,Слово отсутствует,Слово отсутствует,Прямое,Отсутствует,"Туда, сюда, нигде нет."
"про мужа спрашивать; а потом, батюшка,",туда,",","сюда, да и про тебя спросила",А. К. Толстой. Князь Серебряный (1861-1863),А. К. Толстой,1817,Князь Серебряный,1861-1863,1861,IXX,художественная,роман,,А. К. Толстой.Князь Серебряный: Повесть времен Иоанна Грозного,книга,"Сначала она ничего, молчит себе и очей не подымает; потом стала потихоньку про мужа спрашивать; а потом, батюшка, туда, сюда, да и про тебя спросила, только, вишь, не прямо, а так, как бы нехотя, отворотимшись.",батюшка,"В разные стороны, во все концы",1,Нет,Слово отсутствует,Слово отсутствует,,Слово отсутствует,Слово отсутствует,Слово отсутствует,Слово отсутствует,Слово отсутствует,Прямое,Отсутствует,"Сначала она ничего, молчит себе и очей не подымает; потом стала потихоньку про мужа спрашивать; а потом, батюшка, туда, сюда, да и про тебя спросила, только, вишь, не прямо, а так, как бы нехотя, отворотимшись."
"как Ванька Жорнов вскочил, чихнул, запрыгал",туда,",","сюда, направо, налево, кубарем, -- свалил на",Н. С. Лесков. Старые годы в селе Плодомасове (1862),Н. С. Лесков,1831,Старые годы в селе Плодомасове,1862,1862,IXX,художественная,роман,,Лесков Н. С. Энциклопедическое собрание сочинений,книга,"Подали спирт; Марфа Андревна сама наклонилась и приложила бутылочку к носу Ваньки Жорнова, и только что ее отомкнула, как Ванька Жорнов вскочил, чихнул, запрыгал туда, сюда, направо, налево, кубарем, -- свалил на пол саму Марфу Андревну и в несколько прыжков исчез сам в лакейской.",запрыгал,"В разные стороны, во все концы",1,Да,глагол (личная форма),"VERB, perf, intr masc, sing, past, indc",движения,препозиция,0,0,запрыгал,запрыгать,Прямое,Отсутствует,"Подали спирт; Марфа Андревна сама наклонилась и приложила бутылочку к носу Ваньки Жорнова, и только что ее отомкнула, как Ванька Жорнов вскочил, чихнул, запрыгал туда, сюда, направо, налево, кубарем, -- свалил на пол саму Марфу Андревну и в несколько прыжков исчез сам в лакейской."
